StudySite,Latitude,Longitude,Longitude.UTM,Latitude.UTM,habitat.type,dominant.tree,height.cm,angle,detect.obscured,cover.ground,termite.count.100m,termite.count.50m,termite.large.count.100m,termite.large.count.50m,habitat.number,tree,termites,fire.interval,poaching.all,poaching.high,boundary.distance,road.distance,road.major.distance,urema.distance,pan.distance,river.distance,settlement.distance,tree.100m,tree.250m,tree.500m,tree.1km,termites.100m,termites.250m,termites.500m,termites.1km,fire2015.date,fire2016.date,fire2017.date,pans.100m,pans.250m,pans.500m,tree.hansen,lion.dry,lion.wet,panscon.250m,poaching,panscon.offflood.250
F09,-18.98048,34.4101,648442.0657,7900738.197,2_OW,mix,-0.060089692,-0.657689189,1.577103326,-0.328484395,0.361274215,-0.284463468,0.456744715,-0.124966636,-0.298988193,-1.20389688,-0.452407181,1.716519713,-0.577477932,-0.417812735,-0.920856714,2.885838747,1.886419892,0.459341586,-0.863380432,0.367522866,-0.477940261,-1.025940418,-1.304698586,-1.247367144,-1.07389307,-0.86035502,-1.339241624,-1.392086148,-1.069708109,-1.090836406,-0.581550539,-0.71336776,0.137604877,-0.190650329,-0.228902191,-0.497912914,0.813105583,0.462076724,-0.02136418,-0.544090748,0.269773543
F11,-19.00232,34.41034,648447.9686,7898320.868,3_CW,CA,-0.660986615,1.283033008,-0.623505966,0.833150008,-0.8599344,-0.967175791,-0.734763236,-0.806602832,0.896964578,0.916651189,-0.452407181,0.323922068,-0.577477932,-0.417812735,-1.245848775,-0.938510537,-0.975905061,0.915295601,1.764502406,-0.276113629,-1.058465242,0.444640368,0.137299687,0.119613081,0.368039906,1.186113119,0.222518489,-0.1943167,-0.201770887,NA,0.31907922,-0.631375074,-0.251784295,-0.288821429,-0.333716959,-0.059669629,-0.082014456,-1.012314677,-0.329289377,-0.544090748,-0.246277034
G02,-18.90452,34.42932,650533.7909,7909128.718,2_OW,AX_FA,0.54080723,0.959579309,1.577103326,0.833150008,-0.8599344,-0.967175791,-0.734763236,-0.806602832,-0.298988193,0.916651189,-0.452407181,-1.461119771,-0.577477932,-0.417812735,0.921312213,-0.302073598,-0.499565333,-1.308546305,-0.619590759,-0.061252728,1.94459486,-0.917455494,-0.789052248,-0.5942958,-0.665878713,-0.621266067,-1.073728323,-0.453755021,0.126467749,NA,NA,NA,-0.21376133,0.006961362,-0.194137752,-0.904426932,-1.424694538,-0.188632309,0.925220728,-0.544090748,-0.246277034
G04,-18.92615,34.42925,650507.0552,7906734.895,1.5_SOW,AR,0.54080723,-0.657689189,-0.623505966,-0.715695863,2.498389293,0.398248855,2.541883629,0.55666956,-0.896964578,-1.20389688,2.210397959,-1.124435544,-0.577477932,-0.417812735,0.45575586,-0.916871786,-0.959709585,-0.893815577,-0.659582794,0.810152709,1.358349442,-0.997549891,-1.077676535,-0.9336707,-0.790914834,0.140307695,-0.251851141,0.188661173,0.331947148,NA,NA,NA,-0.180125639,-0.087784164,0.116930418,-1.435020328,-1.424694538,-0.188632309,0.167147771,-0.544090748,-0.246277034
G06,-18.94765,34.42924,650486.7352,7904355.404,3_CW,AR,0.54080723,0.959579309,-0.623505966,0.833150008,2.803691447,2.446385824,2.839760616,2.601578149,0.896964578,0.916651189,-0.452407181,-0.564291179,-0.577477932,-0.417812735,0.046719883,-0.173117593,-0.403048515,-0.486065537,-0.031281617,1.64058876,0.912214041,0.796211302,0.552000284,0.361993611,0.402404994,2.457632065,2.374425411,1.970057368,1.523301482,NA,NA,NA,-0.251784295,-0.283179402,-0.276881218,-0.634730756,0.813105583,-0.175329849,-0.329289377,-0.544090748,-0.246277034
G08,-18.96947,34.42969,650514.5428,7901940.099,3_CW,CA,-1.261883537,-0.33423549,-0.623505966,-0.715695863,-0.8599344,-0.967175791,-0.734763236,-0.806602832,0.896964578,0.916651189,-0.452407181,1.537145853,-0.577477932,-0.417812735,-0.34613502,-0.207711786,1.058635473,-0.036231607,-0.014139758,1.505362988,0.373003036,1.254770875,0.606378496,0.218697146,-0.006527735,0.554951668,0.084747165,-0.052456934,0.281037301,-1.135552883,0.873958945,NA,-0.251784295,-0.281063646,-0.314900726,1.490506172,0.813105583,0.22320886,-0.329289377,-0.544090748,-0.246277034
G10,-18.99154,34.42987,650513.6656,7899497.349,4_F,SF,0.54080723,0.959579309,-0.623505966,-1.064186184,-0.8599344,-0.967175791,-0.734763236,-0.806602832,2.092917349,0.916651189,-0.452407181,-0.113727316,1.731667876,2.393416882,-0.68356061,2.350004196,1.48537612,0.451903433,1.436435938,0.837319672,-0.173776731,0.611302495,1.152966022,1.150825739,0.925652862,-0.795984924,-0.401059449,0.888882041,0.592288971,-1.116176486,NA,-0.686508477,-0.251784295,-0.288821429,-0.333716959,0.447930753,0.813105583,-0.188632309,-0.329289377,2.185194492,-0.246277034
G12,-19.01238,34.43031,650541.238,7897190.503,2.5_OCW,CA,-0.660986615,-0.33423549,-0.623505966,-0.909301597,-0.554632246,0.398248855,-0.436886249,0.55666956,0.298988193,-0.376246452,2.210397959,1.214379787,1.731667876,2.393416882,-0.965800226,-0.526730537,-0.667709291,0.923618793,0.880035281,0.278376043,-0.423067242,0.736956954,0.954560518,0.704003572,0.782447517,-0.485837966,-0.044226501,-0.489848793,-0.782343745,NA,0.753893912,-0.71445924,-0.251784295,-0.288821429,-0.324169487,1.028332353,-0.082014456,-1.012314677,-0.329289377,2.185194492,-0.246277034
H03,-18.9152,34.4492,652618.1837,7907929.663,2_OW,AX_FA,-0.660986615,0.959579309,1.577103326,-0.909301597,0.055972062,0.398248855,0.158867727,0.55666956,-0.298988193,-0.185250252,-0.452407181,-1.421792388,-0.577477932,-0.417812735,1.015324235,-0.64546746,-0.75657773,-1.428113937,-0.529032469,-0.312480628,1.765211344,0.238083288,0.525320053,0.321413696,0.048792411,-1.106131911,-0.995781064,-0.830771804,0.23622711,NA,NA,NA,-0.251784295,-0.273870081,-0.25041911,-0.217106238,-1.424694538,0.22320886,-0.329289377,-0.544090748,-0.246277034
H05,-18.93732,34.44904,652581.2445,7905481.669,2_OW,AX_FA,1.742601075,1.283033008,-0.623505966,-0.909301597,-0.8599344,1.080961178,-0.734763236,1.238305756,-0.298988193,0.916651189,-0.452407181,-0.567744374,1.731667876,-0.417812735,0.59587568,-0.820239604,-0.887385488,-0.971703529,0.020897314,0.646499515,1.673936486,-0.356662661,-0.581234813,-0.07729385,-0.025980441,-1.369464159,-1.200766444,-0.78395915,-0.214328095,NA,NA,NA,-0.251784295,-0.288821429,-0.173255697,-0.914141774,0.813105583,0.22320886,-0.329289377,0.820551813,-0.246277034
